Review ID,Review Date,Review Content,Listing Title,Neighbourhood,City,State,Country,Room Type,Room Price,Room Availability
4055629,2012-10-06,"Very nice accommodation in an aesthetically pleasing environment. The apartment is located next to Portobello road which makes one feel part of the action. Close to transportation, shopping, cafés, restaurants and bars. Thanks Joanna, it was an honor to live in your apartment, it made our trip even more alive.",Nottinghill Portobello  Artist Flat,Kensington and Chelsea,London,England,United Kingdom,Entire home/apt,100,338
25329416,2013-11-03,"Me and my friends had such a nice time at Dotti's place! She was super relaxed and helpful with all the things we needed. The apartment itself was lovely, very homey comfortable and clean. The location too was great as it only took a short cycle into the centre.I would definitely recommend staying here! Thanks again Dotti ",Quiet Pink Studio in the PIJP area,De Pijp - Rivierenbuurt,Amsterdam,North Holland,The Netherlands,Private room,80,10
21705849,2014-11-27,I stayed for 4night.She gave us a lot of snucks and drinks.She gave us a lot of infomation too.Subway is very close with apartment and very useful.This was first time in NY for us but we had great one!!great hospitalty and location!!Thank you Agness!!,"PRIVATE Room in Spacious, Quiet Apt",Harlem,New York City,New York,United States,Private room,57,268
41133812,2012-05-08,"The apartment was situated on the first floor of the building, which was fantastic as we didn't have to carry bags up and down stairs for the one night we stayed there. It was great for the price and the description accurate. Not much natural light into the room, but it's not an issue if you aren't going to be there long. Was great for the one night we stayed in it, and the check in and check out was super easy. Wifi and kitchen facilities were great. ",Bonito estudio en pleno centro,Universidad,Madrid,Comunidad de Madrid,Spain,Entire home/apt,38,274
7465026,2013-08-16,"Even though it was only for one night, we had a wonderful stay at Vesna and Kostas apartment, everything was very modern and clean. Since we were only there for 24hours, it was a good spot to stay as it was walking distance to the Acropolis and Plaka area. Vesna and Kosta were great at communicating and when we checked in, Kosta was very helpful in explaining the area and everything we needed to know. What was really great was that they had printed maps for us and also a local mobile phone incase we needed to make calls! They were also very accomodating with holding our bags after we checked out as we had a late flight. Great place, definitely recommend!",Acropolis Apartment brand new,ΑΚΡΟΠΟΛΗ,Athens,Attica,Greece,Entire home/apt,62,281
11372151,2014-11-19,"We spent four days at Shane's place. The location is great in a very quite neighborhood , close to restaurants and public transport.Shane is a great host always available with anything you might need. Make sure you meet his super sweet dog Maggie !Definitely coming back !",Great Light-filled Alberta Arts Rm,King,Portland,Oregon,United States,Private room,55,121
20417380,2013-11-07,"Wonderful experience. We loved staying in the house, which had everything we needed. Melanie was friendly and helpful. She so went out of her way to fix a problem with the internet and was very accommodating when we requested a late check out. Highly recommend the house. ",LARGE HOME FOR GROUP ACCOMMODATION,Stonnington,Melbourne,Victoria,Australia,Entire home/apt,248,239
10787310,2013-06-02,Carolines room is perfectly located to discover London downtown. 10 min walk from Victoria station.Caroline and Robin are extremely friendly and helpful hosts.I had a good sleep and would surely come back to them for another stay in London.,Private room - Central London,Westminster,London,England,United Kingdom,Private room,60,351
37085487,2014-06-27,"We had a great stay in Tyler's apartment. The best part about it is the great location, its walkable to all sorts of cool stuff and in a very charming neighborhood. Tyler was very nice and the room was comfortable and well air-conditioned. We had a minor issue with the wi-fi due to a provider outage so be aware if you have a strong need for internet access, but overall a great experience. ",Privacy + Free Beer,Marigny,New Orleans,Louisiana,United States,Private room,79,330
15542291,2013-12-28,"What a wonderful location, right in the heart of Monastiraki, walking distance to all major attractions, shops, restaurants and the metro. The flat was clean and well appointed with all the amenities we required. We would not hesitate to stay here again. Thank you Miglen for the wonderful hospitality. ",Athens Acropolis /B 'Luxury 2,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Athens,Attica,Greece,Entire home/apt,37,329
24326991,2014-10-19,"Many thanks Annabel, our stay was perfect! We could not have dreamt of a better way to spend our time in London than to come home each day to your beautiful apartment. And, the surrounding neighbourhood is fantastic for food, shopping, transport - everything! We really had the most wonderful time. ",Light 2 bedroom in Notting Hill,Kensington and Chelsea,London,England,United Kingdom,Entire home/apt,140,151
28951458,2013-08-06,"Roel is an excellent host. Good communication, extremely helpful and accommodating. His apartment is in good location, direct bus from Schipol, close to museums , restaurants and public transport.  Everything we needed were available. We enjoyed our stay at his place, very comfortable.Thank you Roel.",Leidse Square New Luxury Appartment,Centrum-Oost,Amsterdam,North Holland,The Netherlands,Entire home/apt,229,361
22408370,2014-04-16,"Fantastic host - really nice spacious room, unbelievable location in a charming quiet square, and very nice pets. Cristiana is very knowledgable about the area, knows all the best spots and is so helpful. Will definitely be back now I have found an affordbale and decent place to stay in Venice.",In the heart of Venice - Rialto 3,San Polo,Venice,Veneto,Italy,Private room,45,17
23793633,2013-02-01,"Staying at Michiko's apartment for 6 nights was my first AirBnB experience. The apartment is in an excellent area, 3 minutes walk to the metro station Bastille, with a gorgeous farmer's market each Thursday and Sunday across the street (buy the eggs!). Michiko and her boyfriend were very welcoming during my stay, answering any queries I had about the neighbourhood, and giving some general tips about Paris.The room is a nice size with a comfortable bed, and the place overall has a nice feel to it. Although, some door handles are a little out of order, and the internet works best in the living room. They also have an adorable puppy who is very playful and loving. I'd recommend staying here if you want to experience inner Paris, staying with friendly people, for a small price.Cheers!",Room near Bastille and Marais,Popincourt,Paris,Île-de-France,France,Private room,39,246
